"TurnId","OrderNo","ItemNo","Direction1","Distance1","Direction2","Distance2","Direction3","Distance3"
"307EApr1809","21","","","","","","",""
"307EApr1809","22","","","","","","",""
"307EApr1809","23","","","","","","",""
"307EApr1809","24","","","","","","",""
"307EApr1809","25","","","","","","",""
"307EApr1809","26","","","","","","",""
"307EApr1809","27","","","","","","",""
"307EApr1809","28","","","","","","",""
"307EApr1809","29","","","","","","",""
"307EApr1809","30","","","","","","",""
"307EAug1808","1","","","","","","",""
"307EAug1808","2","","","","","","",""
"307EAug1808","3","","","","","","",""
"307EAug1808","4","","","","","","",""
"307EAug1808","5","","","","","","",""
"307EAug1808","6","","","","","","",""
"307EAug1808","7","","","","","","",""
"307EAug1808","8","","","","","","",""
"307EAug1808","9","","","","","","",""
"307EAug1808","10","","","","","","",""
"307EAug1808","11","","","","","","",""
"307EAug1808","12","","","","","","",""
"307EAug1808","13","","","","","","",""
"307EAug1808","14","","","","","","",""
"307EAug1808","15","","","","","","",""
"307EAug1808","16","","","","","","",""
"307EAug1808","17","","","","","","",""
"307EAug1808","18","","","","","","",""
"307EAug1808","19","","","","","","",""
"307EAug1808","20","","","","","","",""
"307EAug1808","21","","","","","","",""
"307EAug1808","22","","","","","","",""
"307EAug1808","23","","","","","","",""
"307EAug1808","24","","","","","","",""
"307EAug1808","25","","","","","","",""
"307EAug1808","26","","","","","","",""
"307EAug1808","27","","","","","","",""
"307EAug1808","28","","","","","","",""
"307EAug1808","29","","","","","","",""
"307EAug1808","30","","","","","","",""
"307EDec1808","1","","","","","","",""
"307EDec1808","2","","","","","","",""
"307EDec1808","3","","","","","","",""
"307EDec1808","4","","","","","","",""
"307EDec1808","5","","","","","","",""
"307EDec1808","6","","","","","","",""
"307EDec1808","7","","","","","","",""
"307EDec1808","8","","","","","","",""
"307EDec1808","9","","","","","","",""
"307EDec1808","10","","","","","","",""
"307EDec1808","11","","","","","","",""
"307EDec1808","12","","","","","","",""
"307EDec1808","13","","","","","","",""
"307EDec1808","14","","","","","","",""
"307EDec1808","15","","","","","","",""
"307EDec1808","16","","","","","","",""
"307EDec1808","17","","","","","","",""
"307EDec1808","18","","","","","","",""
"307EDec1808","19","","","","","","",""
"307EDec1808","20","","","","","","",""
"307EDec1808","21","","","","","","",""
"307EDec1808","22","","","","","","",""
"307EDec1808","23","","","","","","",""
"307EDec1808","24","","","","","","",""
"307EDec1808","25","","","","","","",""
"307EDec1808","26","","","","","","",""
"307EDec1808","27","","","","","","",""
"307EDec1808","28","","","","","","",""
"307EDec1808","29","","","","","","",""
"307EDec1808","30","","","","","","",""
"307EFeb1809","1","","","","","","",""
"307EFeb1809","2","","","","","","",""
"307EFeb1809","3","","","","","","",""
"307EFeb1809","4","","","","","","",""
"307EFeb1809","5","","","","","","",""
"307EFeb1809","6","","","","","","",""
"307EFeb1809","7","","","","","","",""
"307EFeb1809","8","","","","","","",""
"307EFeb1809","9","","","","","","",""
"307EFeb1809","10","","","","","","",""
"307EFeb1809","11","","","","","","",""
"307EFeb1809","12","","","","","","",""
"307EFeb1809","13","","","","","","",""
"307EFeb1809","14","","","","","","",""
"307EFeb1809","15","","","","","","",""
"307EFeb1809","16","","","","","","",""
"307EFeb1809","17","","","","","","",""
"307EFeb1809","18","","","","","","",""
"307EFeb1809","19","","","","","","",""
"307EFeb1809","20","","","","","","",""
"307EFeb1809","21","","","","","","",""
"307EFeb1809","22","","","","","","",""
"307EFeb1809","23","","","","","","",""
"307EFeb1809","24","","","","","","",""
"307EFeb1809","25","","","","","","",""
"307EFeb1809","26","","","","","","",""
"307EFeb1809","27","","","","","","",""
"307EFeb1809","28","","","","","","",""
"307EFeb1809","29","","","","","","",""
"307EFeb1809","30","","","","","","",""
"307EJan1808","1","","","","","","",""
"307EJan1808","2","","","","","","",""
"307EJan1808","3","","","","","","",""
"307EJan1808","4","","","","","","",""
"307EJan1808","5","","","","","","",""
"307EJan1808","6","","","","","","",""
"307EJan1808","7","","","","","","",""
"307EJan1808","8","","","","","","",""
"307EJan1808","9","","","","","","",""
"307EJan1808","10","","","","","","",""
"307EJan1808","11","","","","","","",""
"307EJan1808","12","","","","","","",""
"307EJan1808","13","","","","","","",""
"307EJan1808","14","","","","","","",""
"307EJan1808","15","","","","","","",""
"307EJan1808","16","","","","","","",""
"307EJan1808","17","","","","","","",""
"307EJan1808","18","","","","","","",""
"307EJan1808","19","","","","","","",""
"307EJan1808","20","","","","","","",""
"307EJan1808","21","","","","","","",""
"307EJan1808","22","","","","","","",""
"307EJan1808","23","","","","","","",""
"307EJan1808","24","","","","","","",""
"307EJan1808","25","","","","","","",""
"307EJan1808","26","","","","","","",""
"307EJan1808","27","","","","","","",""
"307EJan1808","28","","","","","","",""
